iter	Logloss
0	0.6862247734
1	0.6778447579
2	0.6697468135
3	0.6633930584
4	0.6560719254
5	0.6480402051
6	0.6408589813
7	0.6334423991
8	0.6250635411
9	0.6184951442
10	0.6113532323
11	0.6040622914
12	0.5965926433
13	0.5909044569
14	0.5845034846
15	0.5786465377
16	0.5723037646
17	0.5666540511
18	0.5606694097
19	0.554752912
20	0.5496226723
21	0.5442898739
22	0.5389613039
23	0.5335438686
24	0.5283946764
25	0.5230069389
26	0.5179188221
27	0.5129676386
28	0.5076616128
29	0.5027770891
30	0.4973539184
31	0.4932926439
32	0.4884227553
33	0.4836254475
34	0.4790236348
35	0.4753605197
36	0.4709851012
37	0.4670234449
38	0.4629917741
39	0.4589522714
40	0.4547633639
41	0.4509875661
42	0.4472624125
43	0.4427699449
44	0.439387545
45	0.4358478082
46	0.431883455
47	0.4283427569
48	0.4247177772
49	0.4218674451
50	0.4185902312
51	0.4155563117
52	0.4128139417
53	0.4094478322
54	0.4066258098
55	0.4036158022
56	0.4008860513
57	0.3977777675
58	0.3952248066
59	0.3931344457
60	0.3904910332
61	0.3878182054
62	0.3852961424
63	0.3826150648
64	0.3801118726
65	0.3774980394
66	0.3753752014
67	0.3726825219
68	0.3699331964
69	0.367995005
70	0.365753048
71	0.3631482333
72	0.3607682428
73	0.358634296
74	0.3562360021
75	0.3540209418
76	0.3520136737
77	0.3500468852
78	0.3475035986
79	0.3453208142
80	0.3437013041
81	0.3418931397
82	0.3394618722
83	0.3375472653
84	0.3356703726
85	0.3340935534
86	0.3325163282
87	0.3302310309
88	0.3288829208
89	0.3274737668
90	0.3260620389
91	0.3246138918
92	0.322913027
93	0.321577516
94	0.3199847896
95	0.3185038133
96	0.3164603279
97	0.3152234339
98	0.3142041963
99	0.3126822137
100	0.3114233768
101	0.309960722
102	0.3090995429
103	0.307471218
104	0.30591222
105	0.3045296318
106	0.3031213101
107	0.3019983472
108	0.3005244926
109	0.2988814293
110	0.2973662416
111	0.2961174051
112	0.2947284353
113	0.2933267431
114	0.2923211992
115	0.2909356462
116	0.2897793289
117	0.2885082126
118	0.2875589656
119	0.2864945989
120	0.2854873018
121	0.2845485767
122	0.283729138
